Date,account,total_pnl,total_volume,avg_trade_size,trade_count,avg_leverage,win_rate,long_pct,max_drawdown,Classification,Sentiment_Score
2025-06-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3370.86,154160.34,3952.83,39,1.0,92.3076923076923,7.6923076923076925,0.0,Greed,67.0
2025-06-04,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,1828.78,237329.68,2081.84,114,1.0,28.947368421052634,71.05263157894737,-13537.255059999996,Greed,67.0
2025-06-04,0xbaaaf6571ab7d571043ff1e313a9609a10637864,1026.74,1366979.39,2739.44,499,1.0,34.46893787575151,65.53106212424849,0.0,Greed,67.0
2025-06-04,0x8477e447846c758f5a675856001ea72298fd9cb5,67.08,12423.32,443.69,28,1.0,14.285714285714285,100.0,0.0,Greed,67.0
2025-06-04,0x8170715b3b381dffb7062c0298972d4727a0a63b,17621.7,189998.6,13571.33,14,1.0,57.14285714285714,100.0,0.0,Greed,67.0
2025-06-04,0x6d6a4b953f202f8df5bed40692e7fd865318264a,207.98,30469.59,1384.98,22,1.0,45.45454545454545,90.9090909090909,0.0,Greed,67.0
2025-06-04,0xb899e522b5715391ae1d4f137653e7906c5e2115,254.09,477594.31,19103.77,25,1.0,68.0,32.0,-60391.814163999996,Greed,67.0
2025-06-04,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,0.0,567374.57,5508.49,103,1.0,0.0,100.0,0.0,Greed,67.0
2025-06-04,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-1400.55,9920.72,661.38,15,1.0,26.666666666666668,40.0,-2854.057110000009,Greed,67.0
2025-06-04,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,0.0,64267.25,3060.35,21,1.0,0.0,95.23809523809523,0.0,Greed,67.0
2025-06-04,0x39cef799f8b69da1995852eea189df24eb5cae3c,24553.54,192087.53,2824.82,68,1.0,30.88235294117647,30.88235294117647,-1096.6498030000002,Greed,67.0
2025-06-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,179973.59,25710.51,7,1.0,0.0,100.0,0.0,Greed,67.0
2025-06-04,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,39996.37,2105.07,19,1.0,0.0,0.0,-72378.920559,Greed,67.0
2025-06-04,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-476.77,28676.8,387.52,74,1.0,36.486486486486484,54.054054054054056,-601.4563870000129,Greed,67.0
2025-07-01,0x8477e447846c758f5a675856001ea72298fd9cb5,4334.42,137318.66,618.55,222,1.0,72.52252252252252,83.78378378378379,-61.024428000000626,Greed,67.0
